case_id,task,question,expected_answer
case_1,respondent_count,Count the respondents who have worked with the 'Assembly' language.,2
case_2,respondent_count,Count the respondents with more than 7 years of total coding experience.,8
case_3,respondent_count,Count the respondents with more than 10 years of total coding experience.,2
case_4,respondent_count,Count the respondents from 'Germany'.,1
case_5,respondent_count,Count the respondents who have worked with the 'C++' language.,3
case_6,respondent_count,Count the respondents who have used 'Unity 3D'.,1
case_7,respondent_count,Count the respondents who have used 'Yarn'.,3
case_8,respondent_count,Count the respondents from 'Switzerland'.,2
case_9,respondent_count,Count the respondents with more than 3 years of total coding experience.,9
case_10,respondent_count,Count the respondents who have worked with the 'SQL' language.,4
case_11,respondent_count,Count the respondents from 'Mexico'.,1
case_12,respondent_count,Count the respondents who have used 'Docker'.,7
case_13,respondent_count,Count the respondents with more than 3 years of professional coding experience.,8
case_14,respondent_count,Count the respondents who have worked with the 'JavaScript' language.,7
case_15,respondent_count,Count the respondents from 'United States of America'.,7
case_16,respondent_count,Count the respondents who have used 'npm'.,8
case_17,respondent_count,Count the respondents from 'Switzerland'.,1
case_18,respondent_count,Count the respondents from 'United Kingdom of Great Britain and Northern Ireland'.,1
case_19,respondent_count,Count the respondents from 'Germany'.,2
case_20,respondent_count,Count the respondents from 'Brazil'.,1
case_21,respondent_count,Count the respondents who have used 'npm'.,4
case_22,respondent_count,Count the respondents from 'France'.,1
case_23,respondent_count,Count the respondents from 'United Kingdom of Great Britain and Northern Ireland'.,1
case_24,respondent_count,Count the respondents with more than 7 years of professional coding experience.,5
case_25,respondent_count,Count the respondents who have worked with the 'HTML/CSS' language.,6
case_26,respondent_count,Count the respondents who are 'C' and whose yearly compensation is over 100000.,0
case_27,respondent_count,Count the respondents who are 'A' and whose yearly compensation is over 50000.,5
case_28,respondent_count,Count the respondents with between 7 and 12 years of total coding experience who work with the 'Unity 3D' tool.,0
case_29,respondent_count,"Count the respondents who are '['A', 'C']', use 'Kubernetes', and have worked with 'C#'.",0
case_30,respondent_count,"Count the respondents who are '['A', 'C']' and whose yearly compensation is over 100000.",0
case_31,respondent_count,"Count the respondents who are 'A', use 'Ansible', and have worked with 'Groovy'.",0
case_32,respondent_count,"Count the respondents from 'Sweden' with an education level of 'S., etc.)' who have worked with 'C++'.",1
case_33,respondent_count,"Count the respondents who are 'A', use 'Kubernetes', and have worked with 'PHP'.",1
case_34,respondent_count,Count the respondents who are 'A' and whose yearly compensation is over 75000.,10
case_35,respondent_count,"Count the respondents from 'Switzerland' with an education level of 'S., etc.)' who have worked with 'PowerShell'.",0
case_36,respondent_count,Count the respondents who are 'A' and whose yearly compensation is over 75000.,6
case_37,respondent_count,"Count the respondents from 'Germany' with an education level of 'S., etc.)' who have worked with 'Go'.",0
case_38,respondent_count,"Count the respondents who are 'A', use 'Puppet', and have worked with 'Go'.",0
case_39,respondent_count,Count the respondents who are 'C' and whose yearly compensation is over 100000.,0
case_40,respondent_count,Count the respondents from 'United States of America' with an education level of 'Some college/university study without earning a degree' who have worked with 'Bash/Shell'.,0
case_41,respondent_count,Count the respondents who have worked with a language that is also one of the top 3 most desired languages among all respondents.,8
case_42,respondent_count,Count the respondents whose total compensation (yearly) is higher than the average compensation for their country.,3
case_43,respondent_count,Count the respondents who have more professional coding experience than the average for their education level.,5
case_44,respondent_count,Count the respondents who have more professional coding experience than the average for their education level.,2
case_45,respondent_count,Count the respondents who have worked with a language that is also one of the top 3 most desired languages among all respondents.,11
case_46,respondent_count,Count the respondents who have more total coding experience than the average for their education level.,5
case_47,respondent_count,Count the respondents who have more professional coding experience than the average for their education level.,4
case_48,respondent_count,Count the respondents who have worked with a language that is also one of the top 3 most desired languages among all respondents.,11
case_49,respondent_count,Count the respondents whose total compensation (yearly) is higher than the average compensation for their country.,3
case_50,respondent_count,Count the respondents whose total compensation (yearly) is higher than the average compensation for their country.,1
