case_id,task,question,expected_answer
case_1,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '19', excluding the respondent themselves.",None
case_2,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '7', excluding the respondent themselves.",23
case_3,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '9'?,None
case_4,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '16', excluding the respondent themselves.",None
case_5,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '9'?,None
case_6,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '20'?,22
case_7,multi_hop_relational_inference,List all respondents who scored the same on 'Recommendation (clear recommendation)' as respondent '15'.,"20, 13, 2, 8"
case_8,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '16', excluding the respondent themselves.",20
case_9,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '2'?,None
case_10,multi_hop_relational_inference,List all respondents who scored the same on 'Background (history)' as respondent '13'.,"23, 10, 14, 2"
case_11,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '3', excluding the respondent themselves.","11, 6, 2"
case_12,multi_hop_relational_inference,List all respondents who scored the same on 'Recommendation (clear recommendation)' as respondent '13'.,"10, 5, 22"
case_13,multi_hop_relational_inference,List all respondents who scored the same on 'Assessment' as respondent '5'.,"11, 17, 3, 14, 20, 1, 23"
case_14,multi_hop_relational_inference,List all respondents who scored the same on 'Background (history)' as respondent '16'.,"11, 8, 5"
case_15,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '21', excluding the respondent themselves.",4
case_16,multi_hop_relational_inference,List all respondents who scored the same on 'Background (history)' as respondent '23'.,"20, 13, 18"
case_17,multi_hop_relational_inference,List all respondents who scored the same on 'Situation' as respondent '15'.,"14, 12, 22, 8"
case_18,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '22', excluding the respondent themselves.",None
case_19,multi_hop_relational_inference,List all respondents who scored the same on 'Background (examination)' as respondent '22'.,"15, 17, 6, 7, 3, 5"
case_20,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '4'?,None
case_21,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '17', excluding the respondent themselves.","9, 15"
case_22,multi_hop_relational_inference,Which respondents participated in the same session name as respondent '23'?,None
case_23,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '13', excluding the respondent themselves.",None
case_24,multi_hop_relational_inference,"Find all respondents who had a session on the same date as respondent '5', excluding the respondent themselves.","18, 17"
case_25,multi_hop_relational_inference,List all respondents who scored the same on 'Situation' as respondent '4'.,"23, 5, 16, 15, 19, 9, 14, 18"
