case_id,task,question,expected_answer
case_1,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 3.0 were born in 2004?,1
case_2,conceptual_aggregation,How many respondents are male?,7
case_3,conceptual_aggregation,Count the respondents with a Happiness of 8 or higher.,4
case_4,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 6.0 were born in 2001?,0
case_5,conceptual_aggregation,Count the respondents with a Depression of 5 or higher.,0
case_6,conceptual_aggregation,How many respondents are female?,2
case_7,conceptual_aggregation,How many respondents are female?,2
case_8,conceptual_aggregation,Count the respondents with a Anger of 6 or higher.,0
case_9,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 5.0 were born in 2002?,0
case_10,conceptual_aggregation,Count the respondents with a Anger of 8 or higher.,0
case_11,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 1.0 were born in 2005?,0
case_12,conceptual_aggregation,Count the respondents with a Life satisfaction of 5 or higher.,9
case_13,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 1.0 were born in 2006?,0
case_14,conceptual_aggregation,Count the respondents with a Laughter of 7 or higher.,3
case_15,conceptual_aggregation,Count the respondents with a Happiness of 5 or higher.,6
case_16,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 1.0 were born in 2001?,1
case_17,conceptual_aggregation,Count the respondents with a Happiness of 7 or higher.,4
case_18,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 1.0 were born in 2002?,0
case_19,conceptual_aggregation,Count the respondents with a Happiness of 8 or higher.,4
case_20,conceptual_aggregation,How many respondents are male?,5
case_21,conceptual_aggregation,Count the respondents with a Depression of 8 or higher.,0
case_22,conceptual_aggregation,Count the respondents with a Loneliness of 8 or higher.,0
case_23,conceptual_aggregation,Count the respondents with a Worry of 8 or higher.,0
case_24,conceptual_aggregation,How many respondents are female?,2
case_25,conceptual_aggregation,How many respondents with a 'Socio-economic status' of 3.0 were born in 2005?,0
case_26,conceptual_aggregation,How many respondents born in 2004 have a Laughter greater than 5 and a Anger less than 5?,4
case_27,conceptual_aggregation,How many respondents born in 2003 have a Worry greater than 4 and a Laughter less than 6?,0
case_28,conceptual_aggregation,How many female respondents have a mother with more than 17 years of education and a 'Life satisfaction' score of 8 or higher?,0
case_29,conceptual_aggregation,Count the respondents whose total score for 'Life satisfaction' and 'Depression' is exactly 11.,1
case_30,conceptual_aggregation,Count the respondents whose total score for 'Happiness' and 'Stress' is exactly 4.,2
case_31,conceptual_aggregation,How many male respondents have a mother with more than 16 years of education and a 'Life satisfaction' score of 6 or higher?,1
case_32,conceptual_aggregation,How many female respondents have a mother with more than 18 years of education and a 'Life satisfaction' score of 7 or higher?,1
case_33,conceptual_aggregation,Count the respondents whose total score for 'Happiness' and 'Depression' is exactly 8.,4
case_34,conceptual_aggregation,How many respondents born in 2003 have a Anger greater than 4 and a Learning less than 5?,0
case_35,conceptual_aggregation,Count the respondents whose total score for 'Stress' and 'Life satisfaction' is exactly 11.,3
case_36,conceptual_aggregation,How many male respondents have a mother with more than 16 years of education and a 'Life satisfaction' score of 6 or higher?,2
case_37,conceptual_aggregation,Count the respondents whose total score for 'Laughter' and 'Life satisfaction' is exactly 10.,1
case_38,conceptual_aggregation,Count the respondents whose total score for 'Worry' and 'Enjoyment' is exactly 10.,1
case_39,conceptual_aggregation,How many female respondents have a mother with more than 18 years of education and a 'Life satisfaction' score of 6 or higher?,2
case_40,conceptual_aggregation,How many respondents born in 2005 have a Loneliness greater than 5 and a Happiness less than 4?,0
case_41,conceptual_aggregation,How many respondents have a Life satisfaction that is higher than the average Life satisfaction for their gender?,4
case_42,conceptual_aggregation,How many respondents have a Happiness that is higher than the average Happiness for their gender?,3
case_43,conceptual_aggregation,How many respondents have a total 'Depressive Symptoms' score that is higher than the average for their 'Socio-economic status' group?,4
case_44,conceptual_aggregation,Count the respondents who were born in a year where the average 'Life satisfaction' for that year was greater than the overall average 'Life satisfaction'.,9
case_45,conceptual_aggregation,Count the respondents who were born in a year where the average 'Life satisfaction' for that year was greater than the overall average 'Life satisfaction'.,7
case_46,conceptual_aggregation,How many respondents have a Loneliness that is higher than the average Loneliness for their gender?,5
case_47,conceptual_aggregation,Count the respondents who were born in a year where the average 'Life satisfaction' for that year was greater than the overall average 'Life satisfaction'.,2
case_48,conceptual_aggregation,How many respondents have a total 'Depressive Symptoms' score that is higher than the average for their 'Socio-economic status' group?,2
case_49,conceptual_aggregation,Count the respondents who were born in a year where the average 'Life satisfaction' for that year was greater than the overall average 'Life satisfaction'.,6
case_50,conceptual_aggregation,How many respondents have a Anger that is higher than the average Anger for their gender?,3
